study_hours,attendance,assignment_completion,midterm_score,final_score,project_score,backlogs,sleep_hours,stress,anxiety,depression,motivation,concentration,time_management,self_discipline,social_media_hours,gaming_hours,netflix_hours,screen_time,physical_activity,junk_food_frequency,caffeine_mg,late_night_frequency,procrastination_score,family_income,parental_education_level,internet_quality,library_visits,online_courses_completed,part_time_hours,peer_study_group,relationship_status,hostel_student,extracurricular_hours,phone_unlocks_per_day,previous_gpa,class_participation,weekly_study_sessions,group_study_hours,financial_stress,gpa,performance_level
6.116772,86.13743,73.32139,75.04544,83.054535,82.04241,1,6.839205,1.3139383,37.74275,32.74275,6.630001,7.82018,6.221426,6.221426,2.717821,1.8118806,1.8118806,6.3415823,4.1881194,2.8118806,157.4958,1.8118806,4.5904546,32888.56,2,4.824024,3.0030296,2,3.808851,1,0,1,2.2183964,56.237614,7.5045443,6.2244554,4.0030293,4.0030293,4.3588257,1.2848911,Low
4.546458,80.39409,85.9708,60.105736,65.126884,68.09869,1,6.4865704,2.6595747,47.041595,42.041595,7.1633334,6.204276,7.06472,7.06472,3.2177935,2.1451957,2.1451957,7.508185,3.8548043,3.1451957,180.95161,2.1451957,4.080476,11315.473,1,3.8063045,2.007049,2,5.138147,1,0,1,4.057671,62.90391,6.0105734,6.0717688,3.007049,3.007049,5.9964685,1.1462302,Low
4.3544993,80.01066,89.42896,57.801506,62.36181,65.948074,1,6.693982,2.9728832,49.85808,44.85808,7.2999945,5.862895,7.295264,7.295264,2.426569,1.6177126,1.6177126,5.6619945,4.3822875,2.6177127,168.26021,1.6177126,3.3224487,14161.426,3,5.604778,1.8534338,2,4.764279,0,0,0,4.44183,52.35425,5.780151,6.148698,2.8534338,1.8534338,4.3857613,0.80976206,Low
4.869993,77.375206,58.15143,69.48709,76.38451,76.85462,3,6.29501,4.57442,60.97192,55.97192,4.8443646,5.9010115,5.2100954,5.2100954,2.9566545,1.9711031,1.9711031,6.898861,4.028897,2.9711032,194.87729,1.9711031,5.761008,14810.395,2,4.6124887,2.6324728,0,4.33863,1,0,1,1.5776225,59.422062,6.948709,4.842568,3.6324728,3.6324728,6.118973,0.8429274,Low
6.2749596,89.64488,89.62051,72.157074,79.588486,79.3466,0,6.5121255,5.2082624,66.21425,61.21425,6.767559,5.7295213,7.308034,7.308034,1.990769,1.3271793,1.3271793,4.645128,4.6728206,2.3271794,181.89801,1.3271793,3.0191455,31060.557,3,5.1303253,2.8104715,3,3.516708,1,0,0,3.4975624,46.543587,7.2157073,7.1185055,3.8104715,3.8104715,5.950625,1.2531852,Low
4.4842076,76.43061,64.05746,65.117195,71.14063,72.77605,3,6.201519,2.3668113,44.204502,39.204502,5.7970138,6.727513,5.6038303,5.6038303,4.2431726,2.8287816,2.8287816,9.900736,3.1712184,3.8287816,198.53156,2.8287816,6.2249513,25458.48,3,5.6181307,2.3411462,0,5.4876356,1,1,0,2.2626843,76.57563,6.511719,4.944977,3.3411462,3.3411462,3.9955027,1.0368282,Low
5.2760305,83.94009,85.359604,65.73033,71.876396,73.348305,1,6.376484,2.5452058,45.936134,40.936134,7.1594357,6.6529465,7.0239735,7.0239735,3.61438,2.4095867,2.4095867,8.433554,3.5904133,3.4095867,187.73965,2.4095867,4.385613,37826.383,3,5.1945157,2.382022,2,5.0275645,1,0,0,3.6419513,68.191734,6.573033,6.4059954,3.382022,3.382022,4.5345597,1.0076759,Low
0.26270568,54.266663,57.718796,35.040592,35.048714,44.704556,5,7.4071574,1.0,36.01349,31.013489,5.64747,5.2684736,5.181253,5.181253,1.1177189,0.7451459,0.7451459,2.6080108,5.254854,1.7451459,122.35438,0.7451459,4.563893,11712.569,1,3.7601771,0.33603954,0,5.4091063,0,0,1,3.8452137,34.90292,3.5040593,2.5172927,1.3360395,0.33603954,5.307389,0.47037387,Low
6.1421137,83.37245,55.97131,79.57303,88.48763,86.26816,2,7.16599,3.309629,53.445694,48.445694,4.9498973,7.0751553,5.064754,5.064754,0.7952883,0.5301922,0.5301922,1.8556727,5.4698076,1.5301923,139.00206,0.5301922,4.4654384,20653.014,3,5.0531096,3.3048685,1,2.225324,1,0,0,0.7598855,30.603844,7.9573026,5.369622,4.304868,4.304868,5.1766033,1.0562404,Low
2.3371,65.02714,60.04983,50.015793,53.01895,58.681404,4,6.449524,1.0,33.08316,28.083158,5.9005504,6.4621754,5.3366556,5.3366556,4.1664395,2.7776263,2.7776263,9.721692,3.2223737,3.7776263,183.32878,2.7776263,6.440971,10007.076,0,2.6311839,1.3343861,0,6.44324,0,1,1,3.0022695,75.55252,5.0015793,3.6710417,2.334386,1.3343861,6.2410264,0.59914106,Low
